10, 0
20, 1
30, 0
40, 0
50, 0
60, 0
70, 0
80, 0
90, 1
100, 0
110, 0
120, 1
130, 1
140, 2
150, 2
160, 3
170, 3
180, 4
190, 4
200, 5
210, 6
220, 7
230, 7
240, 9
250, 10
260, 10
270, 12
280, 13
290, 15
300, 18
310, 20
320, 21
330, 21
340, 23
350, 25
360, 27
370, 35
380, 31
390, 36
400, 39
410, 40
420, 44
430, 46
440, 50
450, 51
460, 56
470, 58
480, 63
490, 70
500, 72
510, 74
520, 80
530, 81
540, 90
550, 92
560, 98
570, 106
580, 111
590, 110
600, 125
610, 124
620, 132
630, 133
640, 149
650, 149
660, 164
670, 161
680, 174
690, 179
700, 190
710, 194
720, 208
730, 208
740, 228
750, 223
760, 248
770, 250
780, 260
790, 261
800, 290
810, 292
820, 321
830, 317
840, 335
850, 336
860, 363
870, 363
880, 388
890, 383
900, 416
910, 412
920, 455
930, 443
940, 480
950, 467
960, 514
970, 500
980, 550
990, 543
1000, 582
