10, 0
20, 0
30, 0
40, 0
50, 0
60, 1
70, 2
80, 3
90, 3
100, 4
110, 5
120, 7
130, 8
140, 10
150, 13
160, 16
170, 18
180, 20
190, 23
200, 27
210, 32
220, 37
230, 41
240, 45
250, 55
260, 62
270, 68
280, 76
290, 83
300, 94
310, 101
320, 111
330, 120
340, 130
350, 142
360, 153
370, 166
380, 179
390, 192
400, 205
410, 220
420, 236
430, 250
440, 253
450, 284
460, 278
470, 291
480, 311
490, 326
500, 363
510, 387
520, 423
530, 448
540, 471
550, 481
560, 487
570, 508
580, 535
590, 575
600, 604
610, 654
620, 668
630, 696
640, 739
650, 793
660, 880
670, 864
680, 899
690, 900
700, 936
710, 992
720, 1053
730, 1044
740, 1133
750, 1174
760, 1172
770, 1213
780, 1279
790, 1283
800, 1450
810, 1364
820, 1456
830, 1501
840, 1596
850, 1638
860, 1676
870, 1776
880, 1789
890, 1832
900, 1903
910, 1950
920, 2021
930, 2075
940, 2111
950, 2188
960, 2293
970, 2482
980, 2438
990, 2480
1000, 2563
