10, 0
20, 0
30, 0
40, 0
50, 0
60, 0
70, 0
80, 0
90, 0
100, 1
110, 1
120, 1
130, 2
140, 2
150, 2
160, 3
170, 3
180, 4
190, 5
200, 5
210, 6
220, 8
230, 9
240, 10
250, 10
260, 12
270, 14
280, 15
290, 16
300, 17
310, 19
320, 22
330, 22
340, 25
350, 28
360, 29
370, 34
380, 33
390, 36
400, 47
410, 43
420, 47
430, 48
440, 55
450, 58
460, 60
470, 69
480, 72
490, 70
500, 76
510, 79
520, 88
530, 90
540, 95
550, 98
560, 107
570, 109
580, 114
590, 120
600, 134
610, 131
620, 144
630, 147
640, 163
650, 159
660, 175
670, 174
680, 191
690, 187
700, 204
710, 200
720, 228
730, 223
740, 238
750, 242
760, 256
770, 258
780, 276
790, 281
800, 306
810, 303
820, 327
830, 327
840, 349
850, 349
860, 380
870, 406
880, 409
890, 405
900, 426
910, 431
920, 467
930, 486
940, 510
950, 495
960, 534
970, 547
980, 572
990, 559
1000, 615
