10, 0
20, 1
30, 0
40, 2
50, 3
60, 2
70, 3
80, 4
90, 5
100, 8
110, 10
120, 13
130, 16
140, 18
150, 22
160, 28
170, 30
180, 35
190, 41
200, 50
210, 53
220, 61
230, 70
240, 77
250, 90
260, 99
270, 118
280, 123
290, 134
300, 146
310, 162
320, 175
330, 188
340, 208
350, 222
360, 257
370, 261
380, 286
390, 306
400, 326
410, 357
420, 379
430, 408
440, 439
450, 465
460, 499
470, 526
480, 559
490, 599
500, 650
510, 681
520, 732
530, 777
540, 864
550, 974
560, 1008
570, 1000
580, 1159
590, 1186
600, 1215
610, 1352
620, 1365
630, 1516
640, 1548
650, 1603
660, 1771
670, 1964
680, 1901
690, 2009
700, 2052
710, 1979
720, 2136
730, 2292
740, 2301
750, 2363
760, 2505
770, 2544
780, 2765
790, 2926
800, 3033
810, 3084
820, 3270
830, 3466
840, 3554
850, 3683
860, 3765
870, 3942
880, 4061
890, 4320
900, 4381
910, 4247
920, 4703
930, 4847
940, 5055
950, 5163
960, 5442
970, 5556
980, 5564
990, 5705
1000, 5928
